SMILES,HOMO,LUMO,E_gap,E_st
c12c(-c3c(ccs3)[C]2[C](c2ccc(cc2)OC)c2ccc(cc2)OC)sc(c1)c1c(c(c(c2c3c(c(c4c2nc(c(n4)c2ccc(cc2)OC)c2ccc(cc2)OC)c2c(c(c(s2)c2sc4-c5c(cc(s5)c5c(c(c(c6c7c(c(c8c6nc(c(n8)c6ccc(cc6)OC)c6ccc(cc6)OC)c6c(c(cs6)OC)OC)nsn7)s5)OC)OC)[C](c4c2)[C](c2ccc(cc2)OC)c2ccc(cc2)OC)OC)OC)nsn3)s1)OC)OC,-4.213141062,-2.777467598,1.435673464,0.658113151
c12c(-c3c(ccs3)[C]2[C](c2ccc(cc2)OC)c2ccc(cc2)OC)sc(c1)c1c(c(c(c2c3c(c(c4c2nc(c(n4)c2ccc(cc2)OC)c2ccc(cc2)OC)c2c(c(c(c4sc5[C]6C(=C(c5c4)[C](c4ccc(cc4)OC)c4ccc(cc4)OC)C=C(S6)c4c(c(c(c5c6c(c(c7c5nc(c(n7)c5ccc(cc5)OC)c5ccc(cc5)OC)c5c(c(c[se]5)OC)OC)nsn6)[se]4)OC)OC)[se]2)OC)OC)nsn3)[se]1)OC)OC,-4.12796938,-2.862367166,1.265602214,0.481054014
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)c2ccc(cc2)F)c2ccc(cc2)F)c2c(c(c(s2)c2sc5-c6c(cc(s6)c6c(c(c(c7c8c(c(c9c7nc(c(n9)c7ccc(cc7)F)c7ccc(cc7)F)c7c(c(cs7)OC)OC)nsn8)s6)OC)OC)[C](c5c2)[C](c2ccc(cc2)OC)c2ccc(cc2)OC)OC)OC)nsn4)s1)OC)OC)scc3)[C](c1ccc(cc1)OC)c1ccc(cc1)OC,-4.332599108,-2.97556659,1.357032518,0.690257978
c12c(-c3c(ccs3)[C]2[C](c2ccc(cc2)OC)c2ccc(cc2)OC)sc(c1)c1c(c(c(c2c3c(c(c4c2nc(c(n4)c2ccc(cc2)F)c2ccc(cc2)F)c2c(c(c(c4sc5[C]6C(=C(c5c4)[C](c4ccc(cc4)OC)c4ccc(cc4)OC)C=C(S6)c4c(c(c(c5c6c(c(c7c5nc(c(n7)c5ccc(cc5)F)c5ccc(cc5)F)c5c(c(c[se]5)OC)OC)nsn6)[se]4)OC)OC)[se]2)OC)OC)nsn3)[se]1)OC)OC,-4.286067614,-3.116249528,1.169818086,0.430960548
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)c2ccc(cc2)F)c2ccc(cc2)F)c2c(c(c(s2)c2sc5-c6c(cc(s6)c6c(c(c(c7c8c(c(c9c7nc(c(n9)c7ccc(cc7)F)c7ccc(cc7)F)c7c(c(cs7)F)F)nsn8)s6)F)F)[C](c5c2)[C](c2ccc(cc2)OC)c2ccc(cc2)OC)F)F)nsn4)s1)F)F)scc3)[C](c1ccc(cc1)OC)c1ccc(cc1)OC,-4.642809068,-3.3197908,1.323018268,0.601498473
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)c2ccc(cc2)F)c2ccc(cc2)F)c2c(c(c(c5sc6-c7c(cc(s7)c7c(c(c(c8c9c(c(c%10c8nc(c(n%10)c8ccc(cc8)F)c8ccc(cc8)F)c8c(c(c[se]8)F)F)nsn9)[se]7)F)F)[C](c6c5)[C](c5ccc(cc5)OC)c5ccc(cc5)OC)[se]2)F)F)nsn4)[se]1)F)F)scc3)[C](c1ccc(cc1)OC)c1ccc(cc1)OC,-4.616141896,-3.418840296,1.1973016,0.467557159
c12c(-c3c(ccs3)C2=C(c2cc(cc(c2)OC)OC)c2cc(cc(c2)OC)OC)sc(c1)c1ccc(c2c3c(c(c4c2nc(c(n4)C)C)c2ccc(c4sc5-c6c(cc(s6)c6ccc(c7c8c(c(c9c7nc(c(n9)C)C)c7cccs7)nsn8)s6)C(=C(c6cc(cc(c6)OC)OC)c6cc(cc(c6)OC)OC)c5c4)s2)nsn3)s1,-4.243889944,-3.0612825,1.182607444,0.505358692
c12c(-c3c(ccs3)[C]2[C](c2cc(cc(c2)OC)OC)c2cc(cc(c2)OC)OC)sc(c1)c1ccc(c2c3c(c(c4c2nc(c(n4)C)C)c2ccc(c4sc5-c6c(cc(s6)c6ccc(c7c8c(c(c9c7nc(c(n9)C)C)c7ccc[se]7)nsn8)[se]6)C(=C(c6cc(cc(c6)OC)OC)c6cc(cc(c6)OC)OC)c5c4)[se]2)nsn3)[se]1,-4.237631322,-3.175842494,1.061788828,0.29402734
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)C)C)c2c(c(c(c5sc6[C]7C(=C(c6c5)[C](c5cc(cc(c5)OC)OC)c5cc(cc(c5)OC)OC)C=C(S7)c5c(c(c(c6c7c(c(c8c6nc(c(n8)C)C)c6c(c(cs6)OC)OC)nsn7)s5)OC)OC)s2)OC)OC)nsn4)s1)OC)OC)scc3)[C](c1cc(cc(c1)OC)OC)c1cc(cc(c1)OC)OC,-4.315455926,-2.918966878,1.396489048,0.587078336
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)C)C)c2c(c(c(c5sc6-c7c(cc(s7)c7c(c(c(c8c9c(c(c%10c8nc(c(n%10)C)C)c8c(c(c[se]8)OC)OC)nsn9)[se]7)OC)OC)C(=C(c7cc(cc(c7)OC)OC)c7cc(cc(c7)OC)OC)c6c5)[se]2)OC)OC)nsn4)[se]1)OC)OC)scc3)[C](c1cc(cc(c1)OC)OC)c1cc(cc(c1)OC)OC,-4.224297736,-2.995430912,1.228866824,0.441200197
C12=C(c3c([C]1SC(=C2)c1c(c(c(c2c4c(c(c5c2nc(c(n5)C)C)c2c(c(c(c5sc6[C]7C(=C(c6c5)[C](c5cc(cc(c5)OC)OC)c5cc(cc(c5)OC)OC)C=C(S7)c5c(c(c(c6c7c(c(c8c6nc(c(n8)C)C)c6c(c(cs6)F)F)nsn7)s5)F)F)s2)F)F)nsn4)s1)F)F)scc3)[C](c1cc(cc(c1)OC)OC)c1cc(cc(c1)OC)OC,-4.661584934,-3.191352992,1.470231942,0.621964439
c12c(-c3c(ccs3)C2=C(c2cc(cc(c2)OC)OC)c2cc(cc(c2)OC)OC)sc(c1)c1c(c(c(c2c3c(c(c4c2nc(c(n4)C)C)c2c(c(c(c4sc5[C]6C(=C(c5c4)[C](c4cc(cc(c4)OC)OC)c4cc(cc(c4)OC)OC)C=C(S6)c4c(c(c(c5c6c(c(c7c5nc(c(n7)C)C)c5c(c(c[se]5)F)F)nsn6)[se]4)F)F)[se]2)F)F)nsn3)[se]1)F)F,-4.576141138,-3.299654364,1.276486774,0.473064747
