SMILES,log_solubility
CC(C)(C)c1cc2c(cc1Cl)C(=O)c1ccccc1C2=O,1.830258449
CC(C)(C)c1ccc2c(c1)C(=O)c1ccc(C(=O)O)cc1C2=O,1.000463402
O=C(O)c1ccc2c(c1)C(=O)c1ccc(Cl)cc1C2=O,0.273820941
Cc1cc(Br)c2c(c1O)C(=O)c1ccccc1C2=O,1.882344745
Cc1cc(S(=O)(=O)O)c(C(C)(C)C)c2c1C(=O)c1ccccc1C2=O,2.105187773
Nc1cc(C(=O)O)c(O)c2c1C(=O)c1ccccc1C2=O,1.661904338
O=C1c2ccccc2C(=O)c2c(Cl)c(O)cc(S(=O)(=O)O)c21,1.424645588
Cc1cc(Br)c2c(c1N)C(=O)c1ccccc1C2=O,1.836694961
Nc1ccc2c(c1)C(=O)c1ccc(O)cc1C2=O,0.497715116
Cc1cc(O)c(O)c2c1C(=O)c1ccccc1C2=O,2.053531438
O=C1c2ccccc2C(=O)c2c(Br)ccc(O)c21,1.258202026
Cc1ccc2c(c1)C(=O)c1cc(S(=O)(=O)O)ccc1C2=O,-0.1828494
Cc1cc(N)c(Cl)c2c1C(=O)c1ccccc1C2=O,1.962832524
CC(C)(C)c1ccc2c(c1)C(=O)c1ccc(S(=O)(=O)O)cc1C2=O,0.643674296
Nc1cc2c(cc1S(=O)(=O)O)C(=O)c1ccccc1C2=O,0.588704437
Cc1ccc2c(c1C)C(=O)c1ccccc1C2=O,2.39562361
CC(C)(C)c1c(O)cc(N)c2c1C(=O)c1ccccc1C2=O,2.251146953
O=C1c2ccccc2C(=O)c2c(O)c(S(=O)(=O)O)cc(Br)c21,1.298508025
Nc1cccc2c1C(=O)c1c(O)cccc1C2=O,1.516508014
O=C1c2ccccc2C(=O)c2c(Br)c(O)cc(Cl)c21,1.641181738
Nc1ccc2c(c1)C(=O)c1cc(C(=O)O)ccc1C2=O,-0.18870579
CC(C)(C)c1cc(N)c(C(=O)O)c2c1C(=O)c1ccccc1C2=O,2.101283515
Nc1ccc2c(c1)C(=O)c1cc(Br)ccc1C2=O,-0.22069067
Cc1cc(Cl)c(Cl)c2c1C(=O)c1ccccc1C2=O,1.963433179
CC(C)(C)c1c(S(=O)(=O)O)cc(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.759210458
Nc1cc(N)c(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.378395149
CC(C)(C)c1cc(C(=O)O)c2c(c1S(=O)(=O)O)C(=O)c1ccccc1C2=O,1.759210458
O=C(O)c1c(O)cc(Cl)c2c1C(=O)c1ccccc1C2=O,1.662504993
Cc1cc(N)c2c(c1Cl)C(=O)c1ccccc1C2=O,1.962832524
O=C1c2ccccc2C(=O)c2cc(Cl)ccc21,1.520781882
CC(C)(C)c1cc(O)c(O)c2c1C(=O)c1ccccc1C2=O,2.296796738
Nc1cc2c(cc1Cl)C(=O)c1ccccc1C2=O,1.102715006
Nc1cccc2c1C(=O)c1cccc(Cl)c1C2=O,0.602305124
O=C1c2ccc(Cl)cc2C(=O)c2cc(Cl)ccc21,-0.03058334
Cc1cc(C)c2c(c1C(=O)O)C(=O)c1ccccc1C2=O,2.099781878
Nc1cc(N)c2c(c1N)C(=O)c1ccccc1C2=O,1.720468206
O=C1c2ccccc2C(=O)c2c(Br)ccc(Cl)c21,1.190628331
O=C1c2cccc(O)c2C(=O)c2c(Br)cccc21,1.328202652
Cc1cc(S(=O)(=O)O)c(Cl)c2c1C(=O)c1ccccc1C2=O,1.620759466
O=C1c2ccccc2C(=O)c2c1c(Br)cc(O)c2S(=O)(=O)O,1.298508025
Nc1c(O)cc(Cl)c2c1C(=O)c1ccccc1C2=O,1.766718646
O=C1c2ccccc2C(=O)c2c(Br)c(O)cc(S(=O)(=O)O)c21,1.298508025
CC(C)(C)c1cc(N)c(Br)c2c1C(=O)c1ccccc1C2=O,2.079960261
Nc1cc(S(=O)(=O)O)c2c(c1N)C(=O)c1ccccc1C2=O,1.378395149
O=C1c2ccccc2C(=O)c2c(Br)c(S(=O)(=O)O)cc(O)c21,1.298508025
Nc1cc(O)c(Cl)c2c1C(=O)c1ccccc1C2=O,1.766718646
O=C1c2ccccc2C(=O)c2c(Cl)cccc21,1.766730029
CC(C)(C)c1c(N)ccc2c1C(=O)c1ccccc1C2=O,2.397876066
Cc1cc(C)c(C(C)(C)C)c2c1C(=O)c1ccccc1C2=O,2.689024493
O=C(O)c1cc(Br)c(S(=O)(=O)O)c2c1C(=O)c1ccccc1C2=O,1.148644587
O=C1c2ccccc2C(=O)c2c(Br)c(S(=O)(=O)O)cc(Br)c21,1.127321333
O=C(O)c1ccc2c(c1Br)C(=O)c1ccccc1C2=O,1.325706781
O=C1c2ccc(O)cc2C(=O)c2cc(O)ccc21,0.104564041
O=C(O)c1cc(Cl)c(Br)c2c1C(=O)c1ccccc1C2=O,1.4913183
